iteration,bidder,bundle,active
0,1,"[1, 12, 6]",True
0,1,"[0, 1, 7]",True
0,1,"[1, 6, 8, 12, 13]",True
0,1,"[8, 12, 6, 7]",True
0,1,"[8, 7]",True
0,1,"[0, 6, 7, 12, 13]",True
0,1,"[0, 8, 13, 7]",True
0,1,"[0, 1, 7, 8, 13]",True
0,1,"[0, 1, 6, 7, 8]",True
0,1,"[0, 13]",True
0,1,"[0, 1, 13, 8]",True
0,1,"[0, 1, 6, 12, 13]",True
0,1,"[12, 13, 6]",True
0,1,"[1, 13, 7]",True
0,1,"[0, 1, 7, 8, 12, 13]",True
0,1,"[0, 8, 13]",True
0,1,"[13, 6, 7]",True
0,1,"[0, 6, 7, 8, 12, 13]",True
0,1,"[1, 12, 13, 6]",True
0,1,"[0, 1, 6, 8, 12]",True
0,1,"[6, 7]",True
0,1,"[8, 1, 6, 7]",True
0,1,"[1, 6, 7, 12, 13]",True
0,1,"[8, 12, 13]",True
0,1,"[0, 6, 7]",True
0,1,"[8, 1, 6]",True
0,1,"[0, 6, 7, 8, 13]",True
0,1,"[8, 12, 13, 6]",True
0,1,"[0, 1, 7, 12, 13]",True
0,1,"[12, 13]",True
0,1,"[8, 1, 12, 13]",True
0,1,[0],True
0,1,"[0, 1, 12, 13]",True
0,1,"[0, 12, 13, 6]",True
0,1,"[1, 7, 8, 12, 13]",True
0,1,"[8, 12, 13, 7]",True
0,1,"[8, 1, 13]",True
0,1,"[8, 6, 7]",True
0,1,"[1, 12, 7]",True
0,1,"[0, 12, 13]",True
0,1,"[1, 7]",True
0,1,"[1, 12, 6, 7]",True
0,1,"[0, 1, 6, 7]",True
0,1,"[0, 8, 12, 7]",True
0,1,[13],True
0,1,"[1, 6]",True
0,1,"[8, 12]",True
0,1,"[1, 13, 6]",True
0,1,"[0, 1, 6, 8, 12, 13]",True
0,1,"[12, 13, 7]",True
0,1,"[8, 13]",True
0,1,[12],True
0,1,"[12, 7]",True
0,1,"[8, 1, 12, 7]",True
0,1,"[0, 8, 13, 6]",True
0,1,"[6, 7, 8, 12, 13]",True
0,1,"[1, 13, 6, 7]",True
0,1,"[12, 6, 7]",True
0,1,"[8, 1, 7]",True
0,1,[],True
0,1,"[8, 13, 6]",True
0,1,"[0, 1, 6, 7, 8, 12, 13]",True
0,1,"[0, 12, 7]",True
0,1,"[8, 1, 12]",True
0,1,"[0, 7, 8, 12, 13]",True
0,1,"[0, 12]",True
0,1,"[0, 1, 12, 8]",True
0,1,"[0, 1, 6, 7, 13]",True
0,1,"[13, 6]",True
0,1,[1],True
0,1,"[8, 1, 13, 6]",True
0,1,"[0, 1, 13, 7]",True
0,1,"[0, 1, 13, 6]",True
0,1,"[1, 6, 7, 8, 13]",True
0,1,"[8, 13, 6, 7]",True
0,1,"[8, 12, 7]",True
0,1,"[1, 6, 7]",True
0,1,"[0, 1, 6, 7, 8, 12]",True
0,1,"[0, 13, 6]",True
0,1,"[8, 13, 7]",True
0,1,"[0, 1, 6, 7, 12, 13]",True
0,1,"[0, 1, 13]",True
0,1,"[0, 12, 13, 7]",True
0,1,"[1, 6, 7, 8, 12]",True
0,1,"[0, 1, 12, 6]",True
0,1,"[0, 1]",True
0,1,"[0, 1, 12, 7]",True
0,1,"[0, 8, 6, 7]",True
0,1,"[0, 1, 6, 8, 13]",True
0,1,"[1, 12]",True
0,1,"[8, 6]",True
0,1,"[0, 1, 6]",True
0,1,"[0, 8, 12]",True
0,1,"[1, 12, 13]",True
0,1,"[8, 12, 6]",True
0,1,"[0, 8, 7]",True
0,1,[6],True
0,1,"[0, 8, 12, 13]",True
0,1,"[0, 1, 7, 8, 12]",True
0,1,"[12, 13, 6, 7]",True
0,1,"[1, 12, 13, 7]",True
0,1,"[0, 6, 8, 12, 13]",True
0,1,"[0, 1, 8]",True
0,1,"[0, 12, 6]",True
0,1,"[0, 1, 6, 7, 8, 13]",True
0,1,"[0, 6]",True
0,1,"[0, 1, 6, 8]",True
0,1,[8],True
0,1,"[8, 1]",True
0,1,"[12, 6]",True
0,1,"[8, 1, 12, 6]",True
0,1,"[0, 7]",True
0,1,"[0, 1, 8, 7]",True
0,1,"[0, 1, 6, 7, 12]",True
0,1,"[0, 12, 6, 7]",True
0,1,"[1, 6, 7, 8, 12, 13]",True
0,1,"[0, 13, 7]",True
0,1,"[0, 13, 6, 7]",True
0,1,"[1, 13]",True
0,1,"[0, 8]",True
0,1,"[0, 8, 12, 6]",True
0,1,"[13, 7]",True
0,1,"[8, 1, 13, 7]",True
0,1,"[0, 1, 8, 12, 13]",True
0,1,"[0, 6, 7, 8, 12]",True
0,1,[7],True
0,1,"[0, 1, 12]",True
0,1,"[0, 8, 6]",True
0,2,"[17, 10, 11]",True
0,2,"[17, 10]",True
0,2,"[16, 17, 5, 10, 11, 15]",False
0,2,"[10, 15]",True
0,2,"[17, 11, 5]",True
0,2,"[17, 5]",True
0,2,"[16, 17, 11]",True
0,2,"[16, 5, 15]",True
0,2,"[16, 10, 5, 15]",True
0,2,"[16, 17, 10, 11]",True
0,2,[10],True
0,2,"[16, 5]",True
0,2,"[16, 11, 5]",True
0,2,"[16, 17, 10, 15]",True
0,2,"[16, 17, 5, 10, 11]",True
0,2,"[16, 10, 15]",True
0,2,"[16, 17, 11, 5]",True
0,2,"[10, 5, 15]",True
0,2,"[10, 11]",True
0,2,"[17, 10, 15]",True
0,2,"[10, 11, 15]",True
0,2,"[11, 5]",True
0,2,"[16, 17]",True
0,2,"[16, 11]",True
0,2,"[16, 17, 5, 11, 15]",False
0,2,"[16, 15]",True
0,2,"[16, 10, 11, 15]",False
0,2,"[16, 17, 10, 11, 15]",False
0,2,"[10, 11, 5, 15]",False
0,2,"[17, 10, 5, 15]",False
0,2,"[17, 15]",True
0,2,"[17, 10, 5]",True
0,2,[16],True
0,2,"[10, 11, 5]",True
0,2,"[16, 17, 10]",True
0,2,"[16, 11, 5, 15]",True
0,2,[11],True
0,2,[17],True
0,2,"[16, 10, 5]",True
0,2,"[16, 17, 11, 15]",True
0,2,"[16, 17, 15]",True
0,2,"[16, 10, 11, 5]",True
0,2,"[5, 15]",True
0,2,"[17, 5, 10, 11, 15]",False
0,2,"[17, 11]",True
0,2,"[11, 15]",True
0,2,"[17, 10, 11, 5]",True
0,2,"[10, 5]",True
0,2,[5],True
0,2,"[16, 10]",True
0,2,[15],True
0,2,"[16, 10, 11]",True
0,2,"[16, 17, 5, 15]",True
0,2,"[16, 11, 15]",True
0,2,"[16, 17, 10, 5]",True
0,2,"[17, 5, 15]",True
0,2,"[11, 5, 15]",True
0,2,"[17, 11, 5, 15]",True
0,2,"[17, 11, 15]",True
0,2,"[17, 10, 11, 15]",False
0,2,"[16, 5, 10, 11, 15]",False
0,2,"[16, 17, 5, 10, 15]",False
0,2,"[16, 17, 5]",True
0,2,[],True
0,3,"[10, 11, 14, 15]",False
0,3,"[17, 10, 11, 14]",False
0,3,"[9, 10, 17, 15]",False
0,3,"[9, 10, 14, 17]",True
0,3,"[17, 10, 14]",True
0,3,"[16, 9, 4, 17]",True
0,3,"[16, 17, 11, 14, 15]",False
0,3,[10],True
0,3,"[11, 14, 15]",False
0,3,"[9, 11, 14, 15]",False
0,3,"[17, 10, 14, 15]",False
0,3,"[17, 4, 9, 10, 11]",False
0,3,"[9, 10, 14]",True
0,3,"[10, 11, 15]",False
0,3,"[17, 4, 9, 11, 14]",False
0,3,"[16, 4, 9, 10, 11, 15]",False
0,3,"[10, 11, 14]",False
0,3,"[17, 4, 9, 11, 15]",False
0,3,"[16, 17]",True
0,3,"[16, 11, 4]",True
0,3,"[17, 9, 10, 11, 14, 15]",False
0,3,"[16, 15]",True
0,3,"[16, 9, 10, 11, 14]",False
0,3,"[17, 4, 9, 10, 11, 14, 15]",False
0,3,"[4, 14, 15]",True
0,3,"[11, 4, 14, 15]",False
0,3,"[9, 14]",True
0,3,"[9, 15]",True
0,3,[16],True
0,3,"[11, 14]",True
0,3,"[17, 4, 14]",True
0,3,"[16, 17, 10]",True
0,3,"[16, 9, 11]",True
0,3,"[16, 4, 9, 14, 15]",True
0,3,"[17, 4, 10, 11, 14, 15]",False
0,3,"[16, 17, 11, 15]",False
0,3,"[16, 9, 14, 17]",True
0,3,"[17, 4, 9, 10, 14, 15]",False
0,3,"[16, 9, 17, 15]",True
0,3,"[16, 17, 15]",True
0,3,"[16, 4, 9, 10, 14]",False
0,3,"[17, 11, 4]",False
0,3,"[9, 10, 11, 14, 15]",False
